episode,target_reward,episode_seed,episode_length,total_extrinsic_reward,total_intrinsic_reward,min_extrinsic_reward,median_extrinsic_reward,max_extrinsic_reward,max_x
0,extrinsic,1109000,200,-200.0,130.32505431771278,0.33326631784439087,0.6247507035732269,0.9872099757194519,-0.3782369577763238
1,extrinsic,1109001,200,-200.0,124.29207688570023,0.3598305284976959,0.6335830092430115,0.9544689059257507,-0.3991107120845547
2,extrinsic,1109002,200,-200.0,138.03825137019157,0.28093937039375305,0.6944098770618439,1.0531624555587769,-0.30969305116453905
3,extrinsic,1109003,200,-200.0,133.09403167665005,0.20596428215503693,0.6229915022850037,1.1980879306793213,-0.22318578863269406
4,extrinsic,1109004,200,-200.0,128.7983047068119,0.33752796053886414,0.6384373903274536,0.9765037298202515,-0.2726014350752988
5,extrinsic,1109005,200,-200.0,130.88711974024773,0.23542752861976624,0.6820932626724243,0.9585351943969727,-0.22534937643208502
6,extrinsic,1109006,200,-200.0,132.4512628018856,0.26544544100761414,0.6679790318012238,0.959846019744873,-0.3170905653398489
7,extrinsic,1109007,200,-200.0,123.10725674033165,0.3564140796661377,0.6442249715328217,0.9723272323608398,-0.3109023815672741
8,extrinsic,1109008,200,-200.0,107.20948997139931,0.2997717261314392,0.5344108939170837,0.8534621596336365,-0.2771873086138846
9,extrinsic,1109009,200,-200.0,104.20876076817513,0.2723071873188019,0.5599571466445923,0.7496296167373657,-0.33097041567145924
10,extrinsic,1109010,200,-200.0,91.7132537662983,0.27400392293930054,0.477427139878273,0.7528265118598938,-0.3356694374237917
11,extrinsic,1109011,200,-200.0,97.03502008318901,0.22286230325698853,0.5009447634220123,0.7016288638114929,-0.27064652178917803
12,extrinsic,1109012,200,-200.0,84.74438163638115,0.2791163921356201,0.4201701134443283,0.5040804743766785,-0.3343799621007406
13,extrinsic,1109013,200,-200.0,92.13948714733124,0.19845031201839447,0.4867599308490753,0.691122829914093,-0.2391787115283152
14,extrinsic,1109014,200,-200.0,83.46878579258919,0.28632622957229614,0.41803039610385895,0.5327215194702148,-0.36035161437027785
15,extrinsic,1109015,200,-200.0,85.6040723323822,0.22012458741664886,0.44303369522094727,0.685914158821106,-0.27628388026577183
16,extrinsic,1109016,200,-200.0,85.6102394014597,0.1478954404592514,0.4154972583055496,0.7215259671211243,-0.15227255558157152
17,extrinsic,1109017,200,-200.0,77.85586133599281,0.26633551716804504,0.3841427266597748,0.4700029194355011,-0.321906977187891
18,extrinsic,1109018,200,-200.0,79.34683778882027,0.16723912954330444,0.37614956498146057,0.718104362487793,-0.11761782221273646
19,extrinsic,1109019,200,-200.0,74.51510685682297,0.18875570595264435,0.3539704829454422,0.5496194958686829,-0.2377072085901209
20,extrinsic,1109020,200,-200.0,74.33072672784328,0.24417708814144135,0.3622930347919464,0.5831358432769775,-0.2966934252806736
21,extrinsic,1109021,200,-200.0,81.38136929273605,0.17143750190734863,0.3962281495332718,0.7267830967903137,-0.21885813362783316
22,extrinsic,1109022,200,-200.0,75.70478923618793,0.21389974653720856,0.37735193967819214,0.5835576057434082,-0.27375995403145226
23,extrinsic,1109023,200,-200.0,76.34493632614613,0.21992699801921844,0.38793662190437317,0.556500256061554,-0.274195666834005
24,extrinsic,1109024,200,-200.0,73.06521773338318,0.271621435880661,0.35798636078834534,0.5519199967384338,-0.3656060735285725
25,extrinsic,1109025,200,-200.0,77.19833680987358,0.22018855810165405,0.39248013496398926,0.4821477234363556,-0.3071685161879841
26,extrinsic,1109026,200,-200.0,69.71391126513481,0.28567615151405334,0.337794229388237,0.5061928033828735,-0.3759122698210638
27,extrinsic,1109027,200,-200.0,72.42079924046993,0.2167728990316391,0.3690876215696335,0.545613706111908,-0.3031058164582393
28,extrinsic,1109028,200,-200.0,73.50196678936481,0.17541323602199554,0.35282638669013977,0.6875202059745789,-0.2458098614817026
29,extrinsic,1109029,200,-200.0,69.34515333175659,0.21010170876979828,0.3468797355890274,0.48984676599502563,-0.2998881110871191
30,extrinsic,1109030,200,-200.0,69.60261964797974,0.20549869537353516,0.34763626754283905,0.4570404887199402,-0.2982668754806838
31,extrinsic,1109031,200,-200.0,62.53203669190407,0.2664507031440735,0.3137988746166229,0.45763373374938965,-0.3632304072230053
32,extrinsic,1109032,200,-200.0,61.890643924474716,0.2147921323776245,0.3121958523988724,0.42639556527137756,-0.31166530865225345
33,extrinsic,1109033,200,-200.0,74.21953494846821,0.18343059718608856,0.36004991829395294,0.5837032794952393,-0.24197795731471125
34,extrinsic,1109034,200,-200.0,64.11354221403599,0.17258308827877045,0.2952354997396469,0.4970141649246216,-0.2569749610131616
35,extrinsic,1109035,200,-200.0,62.043576419353485,0.18850842118263245,0.31196095049381256,0.46556732058525085,-0.28290906024491846
36,extrinsic,1109036,200,-200.0,67.60018946230412,0.16301624476909637,0.33591464161872864,0.6164350509643555,-0.2463230978414132
37,extrinsic,1109037,200,-200.0,66.04470784962177,0.18395358324050903,0.32813891768455505,0.5976578593254089,-0.2464106858324612
38,extrinsic,1109038,200,-200.0,64.0198585242033,0.16893130540847778,0.32194314897060394,0.5144546031951904,-0.26027348034869746
39,extrinsic,1109039,200,-200.0,64.16260097920895,0.16367162764072418,0.3168753385543823,0.5273773074150085,-0.2532573686374657
40,extrinsic,1109040,200,-200.0,54.686985313892365,0.21088236570358276,0.27260519564151764,0.4549129009246826,-0.32100775453263597
41,extrinsic,1109041,200,-200.0,60.33001834154129,0.18089622259140015,0.29908113181591034,0.42159467935562134,-0.27445548456237256
42,extrinsic,1109042,200,-200.0,61.28526908159256,0.10925444960594177,0.30603091418743134,0.5023654699325562,-0.1833061864334432
43,extrinsic,1109043,200,-200.0,61.81836308538914,0.10971391201019287,0.302975669503212,0.6153632998466492,-0.16435716113074683
44,extrinsic,1109044,200,-200.0,50.52530361711979,0.1683519184589386,0.24532701075077057,0.443228542804718,-0.30396493230154725
45,extrinsic,1109045,200,-200.0,51.54798462986946,0.1357743740081787,0.25804503262043,0.42096003890037537,-0.2494420579335741
46,extrinsic,1109046,200,-200.0,57.679546162486076,0.13019834458827972,0.2850167155265808,0.46465593576431274,-0.23328954542288183
47,extrinsic,1109047,200,-200.0,45.026430532336235,0.1539193093776703,0.2226487100124359,0.4462091624736786,-0.29360028520701786
48,extrinsic,1109048,200,-200.0,51.28099551051855,0.1206170916557312,0.2588699012994766,0.4515436589717865,-0.24130734465261416
49,extrinsic,1109049,200,-200.0,45.31191708147526,0.1065421998500824,0.2199374958872795,0.40979164838790894,-0.23048360741245816
50,extrinsic,1109050,200,-200.0,52.35737194865942,0.11281391978263855,0.2552257478237152,0.5657652616500854,-0.21110427286813183
51,extrinsic,1109051,200,-200.0,48.754575088620186,0.12259268015623093,0.25397102534770966,0.43956664204597473,-0.27832364443692553
52,extrinsic,1109052,200,-200.0,39.57661372423172,0.10143475979566574,0.18873897194862366,0.46372920274734497,-0.24497214638744078
53,extrinsic,1109053,200,-200.0,45.22587429732084,0.04030593857169151,0.19099417328834534,0.5259302258491516,-0.054481743161658824
54,extrinsic,1109054,200,-200.0,48.414264388382435,0.06798790395259857,0.25331155955791473,0.5417665243148804,-0.14176543443921483
55,extrinsic,1109055,200,-200.0,43.72112184762955,0.13120530545711517,0.20852196961641312,0.3960614800453186,-0.32565078731545777
56,extrinsic,1109056,200,-200.0,46.20096369087696,0.12881873548030853,0.20377907156944275,0.48450562357902527,-0.3343542579116634
57,extrinsic,1109057,200,-200.0,47.55415865033865,0.10786773264408112,0.2339397445321083,0.5375170707702637,-0.2882060772434995
58,extrinsic,1109058,200,-200.0,48.16515439003706,0.054378412663936615,0.18368203192949295,0.6991117000579834,-0.11183369210260592
59,extrinsic,1109059,200,-200.0,38.82691837102175,0.0718318447470665,0.1825157105922699,0.39823976159095764,-0.2284205686900603
60,extrinsic,1109060,200,-200.0,58.48583818227053,0.055429402738809586,0.25666218996047974,0.6403933167457581,-0.18906400858527422
61,extrinsic,1109061,200,-200.0,61.031385101377964,0.04612542316317558,0.2804039865732193,0.7122063040733337,-0.12620001405464834
62,extrinsic,1109062,200,-200.0,55.69801218807697,0.14169944822788239,0.27067625522613525,0.4510890543460846,-0.38457161021531727
63,extrinsic,1109063,200,-200.0,53.99947786331177,0.08635295182466507,0.26202064752578735,0.47928711771965027,-0.29539066199596464
64,extrinsic,1109064,200,-200.0,57.966995023190975,0.10682018101215363,0.2830999195575714,0.5081629157066345,-0.34597877700614404
65,extrinsic,1109065,200,-200.0,56.764391496777534,0.08844269067049026,0.2837018072605133,0.5214114189147949,-0.3198071929615825
66,extrinsic,1109066,200,-200.0,57.99551562964916,0.06465102732181549,0.2633250057697296,0.6368039846420288,-0.2520151989118979
67,extrinsic,1109067,200,-200.0,58.446030743420124,0.09365921467542648,0.27970167994499207,0.48201870918273926,-0.3314108611829318
68,extrinsic,1109068,200,-200.0,66.71271325647831,0.07854162156581879,0.3445825129747391,0.5010089874267578,-0.3030194302518523
69,extrinsic,1109069,200,-200.0,64.7665517181158,0.09753943979740143,0.3272514343261719,0.5377607941627502,-0.36152191328643063
70,extrinsic,1109070,200,-200.0,62.077247977256775,0.14706431329250336,0.32519352436065674,0.45848196744918823,-0.4120165854061218
71,extrinsic,1109071,200,-200.0,56.83562641590834,0.09832420200109482,0.28938688337802887,0.49875694513320923,-0.3956118847428538
72,extrinsic,1109072,200,-200.0,60.274672240018845,0.12671975791454315,0.32075992226600647,0.4719904363155365,-0.45901636657494044
73,extrinsic,1109073,200,-200.0,49.05103562027216,0.11949297785758972,0.24860771000385284,0.4040190577507019,-0.4190347987197641
74,extrinsic,1109074,200,-200.0,59.91514662653208,0.10911086201667786,0.28789369761943817,0.48250263929367065,-0.4322210104047717
75,extrinsic,1109075,200,-200.0,57.46103885769844,0.12355296313762665,0.30525925755500793,0.3977447748184204,-0.47335553000150116
76,extrinsic,1109076,200,-200.0,61.29290538281202,0.09946098178625107,0.3194196969270706,0.47636041045188904,-0.3391658796505552
77,extrinsic,1109077,200,-200.0,61.95072965323925,0.07829038053750992,0.3054710030555725,0.481240838766098,-0.40108308285988054
78,extrinsic,1109078,200,-200.0,60.35477802157402,0.0759311318397522,0.29358628392219543,0.5383825898170471,-0.35088884348094673
79,extrinsic,1109079,200,-200.0,62.2676190957427,0.0940406396985054,0.31694382429122925,0.45633038878440857,-0.43996002904627235
80,extrinsic,1109080,200,-200.0,56.241340927779675,0.07914789021015167,0.3034321218729019,0.47806328535079956,-0.4218957383587166
81,extrinsic,1109081,200,-200.0,58.20830903202295,0.047287486493587494,0.2898677736520767,0.5380090475082397,-0.21545349918515702
82,extrinsic,1109082,200,-200.0,52.38697428256273,0.08038139343261719,0.2789054661989212,0.39131253957748413,-0.43395222466192795
83,extrinsic,1109083,200,-200.0,56.980443216860294,0.0629955306649208,0.2735252231359482,0.5269020199775696,-0.3560053929966183
84,extrinsic,1109084,200,-200.0,55.52963431365788,0.030523495748639107,0.2557886838912964,0.5202009677886963,-0.2850748924531511
85,extrinsic,1109085,200,-200.0,56.46049991250038,0.06758411228656769,0.2948230355978012,0.4286723732948303,-0.40361962867299217
86,extrinsic,1109086,200,-200.0,53.18427724763751,0.022991787642240524,0.24615153670310974,0.5157345533370972,-0.1914440148110943
87,extrinsic,1109087,200,-200.0,44.43908639252186,0.04395707696676254,0.257307231426239,0.3703440725803375,-0.37246249847334734
88,extrinsic,1109088,200,-200.0,45.71267648972571,0.03032117895781994,0.23839996755123138,0.3964100182056427,-0.29403524756894883
89,extrinsic,1109089,200,-200.0,49.737476233392954,0.041453372687101364,0.23082833737134933,0.4573397636413574,-0.3655950182399232
90,extrinsic,1109090,200,-200.0,47.25626395782456,0.007242660969495773,0.2604096531867981,0.4696210026741028,-0.20994265304280635
91,extrinsic,1109091,200,-200.0,38.93781968206167,0.055596109479665756,0.21580331027507782,0.3861302137374878,-0.4351970518359156
92,extrinsic,1109092,200,-200.0,44.28242679685354,0.047114670276641846,0.2384982854127884,0.38135001063346863,-0.3838196687356359
